Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return
2022-12-07,16848.126953125,17109.376953125,16750.55859375,17089.505859375,19675404389.0,0.006731427048727534,0.006708872154844507
2022-12-08,17233.474609375,17267.916015625,16788.783203125,16847.349609375,20496603770.0,-0.014169880158773407,-0.014271231473793708
2022-12-09,17133.15234375,17280.546875,17100.8359375,17232.1484375,20328426366.0,0.022840318331785125,0.02258338322365129
2022-12-10,17128.724609375,17216.826171875,17120.68359375,17134.220703125,12706781969.0,-0.005682851138973044,-0.005699059974944519
2022-12-11,17104.193359375,17245.634765625,17091.8203125,17129.7109375,14122486832.0,-0.00026320226073528463,-0.00026323690452932934
2022-12-12,17206.4375,17212.564453125,16899.39453125,17102.5,19617581341.0,-0.0015885228652884331,-0.001589785905491248
2022-12-13,17781.318359375,17930.0859375,17111.763671875,17206.44140625,26634741631.0,0.0060775562783219605,0.0060591624220054695
2022-12-14,17815.650390625,18318.53125,17739.513671875,17782.06640625,25534481470.0,0.033454041216849806,0.032906630081579805
2022-12-15,17364.865234375,17846.744140625,17322.58984375,17813.64453125,20964448341.0,0.0017758411355892623,0.0017742661940081976
2022-12-16,16647.484375,17505.525390625,16584.701171875,17364.546875,24031608960.0,-0.025210880090380194,-0.025534118649939944
2022-12-17,16795.091796875,16800.58984375,16614.029296875,16646.982421875,14463581825.0,-0.04132353457250815,-0.042201627622854856
2022-12-18,16757.9765625,16815.38671875,16697.8203125,16795.609375,10924354698.0,0.008928161834885762,0.008888541448200836
2022-12-19,16439.6796875,16807.52734375,16398.13671875,16759.041015625,17221074814.0,-0.0021772570770448585,-0.0021796307472539897
2022-12-20,16906.3046875,17012.984375,16427.8671875,16441.787109375,22722096615.0,-0.01893031384995203,-0.019111786108865308
2022-12-21,16817.53515625,16916.80078125,16755.912109375,16904.52734375,14882945045.0,0.028144156793706854,0.027755387545690572
2022-12-22,16830.341796875,16866.673828125,16592.408203125,16818.380859375,16441573050.0,-0.005096059926623764,-0.005109089123907775
2022-12-23,16796.953125,16905.21875,16794.458984375,16829.64453125,15329265213.0,0.0006697239151127743,0.0006694997501317193
2022-12-24,16847.755859375,16864.703125,16793.52734375,16796.9765625,9744636213.0,-0.0019410967765445264,-0.0019429831463720175
2022-12-25,16841.986328125,16860.5546875,16755.25390625,16847.505859375,11656379938.0,0.0030082376246096665,0.0030037219317248054
2022-12-26,16919.8046875,16920.123046875,16812.369140625,16842.25,11886957804.0,-0.00031196661505095147,-0.0003120152867582997
2022-12-27,16717.173828125,16959.845703125,16642.072265625,16919.291015625,15748580239.0,0.00457427099259311,0.0045638408099292855
2022-12-28,16552.572265625,16768.169921875,16497.556640625,16716.400390625,17005713920.0,-0.0119916741672349,-0.012064154313535854
2022-12-29,16642.341796875,16651.755859375,16508.68359375,16552.322265625,14472237479.0,-0.009815398121955643,-0.00986388669274738
2022-12-30,16602.5859375,16643.427734375,16408.474609375,16641.330078125,15929162910.0,0.005377361017483651,0.0053629546341998026
2022-12-31,16547.49609375,16628.986328125,16517.51953125,16603.673828125,11239186456.0,-0.002262814920635403,-0.0022653789550050015
2023-01-01,16625.080078125,16630.439453125,16521.234375,16547.9140625,9244361700.0,-0.00335827878830941,-0.003363930463333772
2023-01-02,16688.470703125,16759.34375,16572.228515625,16625.509765625,12097775227.0,0.0046891531362760475,0.004678193305902215
2023-01-03,16679.857421875,16760.447265625,16622.37109375,16688.84765625,13903079207.0,0.003809681117625585,0.0038024426608333833
2023-01-04,16863.23828125,16964.5859375,16667.763671875,16680.205078125,18421743322.0,-0.0005178654813691175,-0.000517999620010028
2023-01-05,16836.736328125,16884.021484375,16790.283203125,16863.47265625,13692758566.0,0.010987129790469119,0.010927209779727437
2023-01-06,16951.96875,16991.994140625,16716.421875,16836.47265625,14413662913.0,-0.0016010937100783273,-0.0016023768303926906
2023-01-07,16955.078125,16975.017578125,16914.19140625,16952.1171875,7714767174.0,0.006868691180814013,0.0068452091872636235
2023-01-08,17091.14453125,17091.14453125,16924.05078125,16954.146484375,9768827914.0,0.00011970757708645863,0.0001197004127062007
2023-01-09,17196.5546875,17389.95703125,17093.9921875,17093.9921875,18624736866.0,0.008248466135047483,0.008214633456072174
2023-01-10,17446.29296875,17484.720703125,17162.990234375,17192.94921875,15808338949.0,0.005788994762871313,0.005772302921031033
